epoch,train_acc,val_acc,train_loss,val_loss,avg_grad,GPU1_tot,GPU1_occ
45,0.996,0.996,1.461,1.465,0.0,25447.0,2094
46,0.996,0.996,1.464,1.465,0.0013,25447.0,2094
47,0.996,0.996,1.462,1.466,0.0004,25447.0,2094
48,0.996,0.996,1.461,1.466,0.0,25447.0,2094
49,0.996,0.995,1.461,1.467,0.0001,25447.0,2094
50,0.996,0.996,1.519,1.465,0.0012,25447.0,2094
51,0.996,0.996,1.461,1.466,0.0,25447.0,2094
52,0.996,0.997,1.467,1.465,0.0013,25447.0,2094
53,0.996,0.997,1.461,1.465,0.0,25447.0,2094
54,0.996,0.997,1.461,1.464,0.0,25447.0,2094
55,0.997,0.997,1.461,1.464,0.0,25447.0,2094
56,0.997,0.997,1.461,1.464,0.0,25447.0,2094
57,0.997,0.997,1.461,1.464,0.0,25447.0,2094
58,0.997,0.997,1.461,1.464,0.0,25447.0,2094
59,0.997,0.997,1.461,1.464,0.0,25447.0,2094
60,0.997,0.997,1.461,1.464,0.0001,25447.0,2094
61,0.997,0.994,1.461,1.468,0.0,25447.0,2094
62,0.995,0.997,1.463,1.465,0.0009,25447.0,2094
63,0.997,0.997,1.519,1.464,0.0005,25447.0,2094
64,0.997,0.997,1.461,1.464,0.0,25447.0,2094
65,0.997,0.997,1.461,1.464,0.0,25447.0,2094
66,0.997,0.997,1.461,1.464,0.0,25447.0,2094
67,0.997,0.997,1.464,1.464,0.0014,25447.0,2094
68,0.997,0.997,1.461,1.464,0.0,25447.0,2094
69,0.997,0.997,1.461,1.464,0.0,25447.0,2094
70,0.997,0.997,1.461,1.464,0.0,25447.0,2094
71,0.997,0.997,1.461,1.464,0.0,25447.0,2094
72,0.997,0.997,1.461,1.464,0.0,25447.0,2094
73,0.996,0.996,1.461,1.465,0.0,25447.0,2094
74,0.996,0.997,1.461,1.464,0.0,25447.0,2094
75,0.998,0.997,1.464,1.465,0.0013,25447.0,2094
76,0.997,0.997,1.461,1.464,0.0,25447.0,2094
77,0.997,0.997,1.461,1.464,0.0,25447.0,2094
78,0.997,0.998,1.461,1.464,0.0001,25447.0,2094
79,0.998,0.998,1.461,1.464,0.0,25447.0,2094
80,0.998,0.998,1.461,1.464,0.0,25447.0,2094
81,0.996,0.998,1.461,1.464,0.0,25447.0,2094
82,0.998,0.998,1.461,1.464,0.0,25447.0,2094
83,0.998,0.998,1.461,1.464,0.0,25447.0,2094
84,0.998,0.998,1.461,1.464,0.0,25447.0,2094
85,0.998,0.998,1.461,1.464,0.0,25447.0,2094
86,0.998,0.998,1.461,1.464,0.0,25447.0,2094
87,0.997,0.997,1.461,1.465,0.0,25447.0,2094
88,0.997,0.997,1.525,1.465,0.0004,25447.0,2094
89,0.997,0.997,1.462,1.464,0.0001,25447.0,2094
90,0.998,0.998,1.461,1.463,0.0,25447.0,2094
91,0.998,0.998,1.461,1.463,0.0,25447.0,2094
92,0.998,0.998,1.461,1.463,0.0,25447.0,2094
93,0.998,0.998,1.461,1.463,0.0,25447.0,2094
94,0.998,0.998,1.461,1.463,0.0,25447.0,2094
95,0.998,0.998,1.461,1.463,0.0,25447.0,2094
96,0.998,0.998,1.461,1.463,0.0,25447.0,2094
97,0.998,0.998,1.461,1.463,0.0,25447.0,2094
98,0.998,0.998,1.461,1.463,0.0,25447.0,2094
99,0.998,0.998,1.461,1.463,0.0,25447.0,2094
